rank,feature,importance,raw_value,method
1,current_updrs_4,0.26525914669036865,0.26525914669036865,feature_importances_
2,prior_updrs_4,0.12652915716171265,0.12652915716171265,feature_importances_
3,peptide_abundance_median_delta,0.025089280679821968,0.025089280679821968,feature_importances_
4,peptide_abundance_min_rolling3_mean,0.02293415181338787,0.02293415181338787,feature_importances_
5,peptide_abundance_median,0.019972939044237137,0.019972939044237137,feature_importances_
6,protein_npx_median_delta,0.01815987564623356,0.01815987564623356,feature_importances_
7,protein_npx_max_lag1,0.0176310446113348,0.0176310446113348,feature_importances_
8,protein_npx_std_rolling3_std,0.016926471143960953,0.016926471143960953,feature_importances_
9,protein_npx_std_lag1,0.01654808409512043,0.01654808409512043,feature_importances_
10,peptide_n_unique_rolling3_std,0.016542110592126846,0.016542110592126846,feature_importances_
11,protein_npx_mean_rolling3_mean,0.015961164608597755,0.015961164608597755,feature_importances_
12,prior_updrs_2,0.015826385468244553,0.015826385468244553,feature_importances_
13,peptide_abundance_min_delta,0.015407206490635872,0.015407206490635872,feature_importances_
14,medication_unknown_flag,0.014496024698019028,0.014496024698019028,feature_importances_
15,peptide_abundance_mean,0.014114881865680218,0.014114881865680218,feature_importances_
16,current_updrs_3_missing,0.013785269111394882,0.013785269111394882,feature_importances_
17,prior_updrs_1,0.013543297536671162,0.013543297536671162,feature_importances_
18,peptide_abundance_min_rolling3_std,0.0134985176846385,0.0134985176846385,feature_importances_
19,protein_npx_min_lag1,0.01328878290951252,0.01328878290951252,feature_importances_
20,peptide_abundance_median_lag1,0.012496807612478733,0.012496807612478733,feature_importances_
21,protein_npx_max_rolling3_std,0.011942957527935505,0.011942957527935505,feature_importances_
22,peptide_abundance_mean_rolling3_std,0.011674167588353157,0.011674167588353157,feature_importances_
23,peptide_abundance_min,0.011414489708840847,0.011414489708840847,feature_importances_
24,visit_gap,0.01067075040191412,0.01067075040191412,feature_importances_
25,protein_npx_std_delta,0.01058055181056261,0.01058055181056261,feature_importances_
26,prior_updrs_3,0.010464275255799294,0.010464275255799294,feature_importances_
27,protein_npx_min_delta,0.009382540360093117,0.009382540360093117,feature_importances_
28,peptide_abundance_median_rolling3_std,0.009007999673485756,0.009007999673485756,feature_importances_
29,protein_npx_mean,0.008796204812824726,0.008796204812824726,feature_importances_
30,protein_n_unique_rolling3_std,0.008298298344016075,0.008298298344016075,feature_importances_
31,protein_npx_std_rolling3_mean,0.008257828652858734,0.008257828652858734,feature_importances_
32,protein_npx_median_rolling3_std,0.008008209057152271,0.008008209057152271,feature_importances_
33,current_updrs_2,0.007995613850653172,0.007995613850653172,feature_importances_
34,peptide_abundance_mean_rolling3_mean,0.007609943393617868,0.007609943393617868,feature_importances_
35,current_updrs_3,0.007429612334817648,0.007429612334817648,feature_importances_
36,protein_n_unique_rolling3_mean,0.007194689009338617,0.007194689009338617,feature_importances_
37,peptide_abundance_max_rolling3_mean,0.006776958238333464,0.006776958238333464,feature_importances_
38,peptide_abundance_max,0.0067385523580014706,0.0067385523580014706,feature_importances_
39,protein_npx_mean_rolling3_std,0.006596810184419155,0.006596810184419155,feature_importances_
40,protein_n_unique_delta,0.006164820399135351,0.006164820399135351,feature_importances_
41,current_updrs_1,0.0061570629477500916,0.0061570629477500916,feature_importances_
42,peptide_abundance_std_rolling3_mean,0.005997351836413145,0.005997351836413145,feature_importances_
43,peptide_abundance_mean_lag1,0.005995570216327906,0.005995570216327906,feature_importances_
44,protein_npx_median,0.00563436932861805,0.00563436932861805,feature_importances_
45,peptide_abundance_max_lag1,0.005556454416364431,0.005556454416364431,feature_importances_
46,peptide_abundance_std_delta,0.005435205064713955,0.005435205064713955,feature_importances_
47,peptide_abundance_max_delta,0.005247690249234438,0.005247690249234438,feature_importances_
48,protein_npx_std,0.005167326424270868,0.005167326424270868,feature_importances_
49,visit_number,0.0050069959834218025,0.0050069959834218025,feature_importances_
50,prior_updrs_4_missing,0.004721819423139095,0.004721819423139095,feature_importances_
51,peptide_n_unique,0.004561783280223608,0.004561783280223608,feature_importances_
52,protein_npx_min_rolling3_mean,0.004499702248722315,0.004499702248722315,feature_importances_
53,protein_npx_median_rolling3_mean,0.0044791195541620255,0.0044791195541620255,feature_importances_
54,protein_n_unique_lag1,0.004469767678529024,0.004469767678529024,feature_importances_
55,peptide_abundance_min_lag1,0.0042699603363871574,0.0042699603363871574,feature_importances_
56,peptide_abundance_std_rolling3_std,0.00424638856202364,0.00424638856202364,feature_importances_
57,protein_npx_min,0.004128355532884598,0.004128355532884598,feature_importances_
58,protein_npx_max_rolling3_mean,0.004053324460983276,0.004053324460983276,feature_importances_
59,peptide_n_unique_rolling3_mean,0.003511907299980521,0.003511907299980521,feature_importances_
60,peptide_abundance_median_rolling3_mean,0.0034909965470433235,0.0034909965470433235,feature_importances_
61,peptide_abundance_std_lag1,0.003345637582242489,0.003345637582242489,feature_importances_
62,protein_npx_mean_lag1,0.0033073502127081156,0.0033073502127081156,feature_importances_
63,protein_npx_min_rolling3_std,0.003134391736239195,0.003134391736239195,feature_importances_
64,peptide_abundance_mean_delta,0.0030623723287135363,0.0030623723287135363,feature_importances_
65,protein_npx_median_lag1,0.00298675918020308,0.00298675918020308,feature_importances_
66,peptide_abundance_std,0.0029504401609301567,0.0029504401609301567,feature_importances_
67,protein_n_unique,0.0027405312284827232,0.0027405312284827232,feature_importances_
68,protein_npx_max,0.0026399835478514433,0.0026399835478514433,feature_importances_
69,peptide_n_unique_delta,0.002620609011501074,0.002620609011501074,feature_importances_
70,medication_on_flag,0.002496879082173109,0.002496879082173109,feature_importances_
71,protein_npx_max_delta,0.00238024746067822,0.00238024746067822,feature_importances_
