rank,feature,importance,raw_value,method
1,protein_n_unique_rolling3_mean,942435799095.3795,942435799095.3795,abs_coef
2,protein_n_unique_lag1,577062399299.4945,577062399299.4945,abs_coef
3,protein_n_rows_rolling3_mean,474858725686.95685,-474858725686.95685,abs_coef
4,peptide_protein_n_unique_rolling3_mean,467577073410.2098,-467577073410.2098,abs_coef
5,protein_n_unique_delta,448730278027.7232,-448730278027.7232,abs_coef
6,protein_n_unique,445651482091.3572,445651482091.3572,abs_coef
7,protein_n_unique_rolling3_std,414635280274.81476,-414635280274.81476,abs_coef
8,protein_n_rows,312631638559.95966,-312631638559.95966,abs_coef
9,peptide_protein_n_unique_lag1,300383255659.9219,-300383255659.9219,abs_coef
10,protein_n_rows_lag1,276679143672.7752,-276679143672.7752,abs_coef
11,peptide_abundance_max_missing,271953523803.57687,271953523803.57687,abs_coef
12,peptide_protein_n_unique_delta,225693170330.88193,225693170330.88193,abs_coef
13,peptide_abundance_median_missing,224390616508.78094,224390616508.78094,abs_coef
14,protein_n_rows_delta,223037107662.13544,223037107662.13544,abs_coef
15,protein_n_rows_rolling3_std,208198405011.50787,208198405011.50787,abs_coef
16,peptide_protein_n_unique_rolling3_std,206436875265.7386,206436875265.7386,abs_coef
17,protein_npx_std_missing,193303279474.37714,-193303279474.37714,abs_coef
18,protein_npx_median_missing,190898646550.06775,-190898646550.06775,abs_coef
19,peptide_protein_n_unique,133019843501.77777,-133019843501.77777,abs_coef
20,protein_npx_mean_missing,121012883768.65627,-121012883768.65627,abs_coef
21,peptide_abundance_std_missing,89907105442.33913,89907105442.33913,abs_coef
22,peptide_abundance_mean_missing,57693177963.45576,-57693177963.45576,abs_coef
23,peptide_abundance_min_missing,56137951262.67809,-56137951262.67809,abs_coef
24,protein_npx_max_missing,42729466690.443184,42729466690.443184,abs_coef
25,peptide_n_rows,35451490897.1705,-35451490897.1705,abs_coef
26,peptide_n_unique,35451490871.13448,35451490871.13448,abs_coef
27,has_prior_visit,20468215280.838417,20468215280.838417,abs_coef
28,protein_npx_min_missing,9934773423.530098,-9934773423.530098,abs_coef
29,peptide_n_rows_lag1,5723728074.10656,5723728074.10656,abs_coef
30,peptide_n_unique_lag1,5723728041.55571,-5723728041.55571,abs_coef
31,peptide_n_rows_rolling3_std,3314719428.8187103,-3314719428.8187103,abs_coef
32,peptide_n_unique_rolling3_std,3314719426.7941895,3314719426.7941895,abs_coef
33,medication_unknown_flag,2490419589.275303,-2490419589.275303,abs_coef
34,medication_on_flag,2247996291.4672894,-2247996291.4672894,abs_coef
35,medication_off_flag,1801074921.1654935,-1801074921.1654935,abs_coef
36,peptide_n_rows_delta,1539249990.6168137,1539249990.6168137,abs_coef
37,peptide_n_unique_delta,1539249958.148384,-1539249958.148384,abs_coef
38,peptide_n_rows_rolling3_mean,913393574.7263184,913393574.7263184,abs_coef
39,peptide_n_unique_rolling3_mean,913393573.27771,-913393573.27771,abs_coef
40,peptide_abundance_max_delta_missing,639631727.5113354,639631727.5113354,abs_coef
41,peptide_abundance_max_lag1_missing,639631727.5113354,639631727.5113354,abs_coef
42,peptide_abundance_mean_delta_missing,639631727.5113354,639631727.5113354,abs_coef
43,peptide_abundance_mean_lag1_missing,639631727.5113354,639631727.5113354,abs_coef
44,peptide_abundance_median_delta_missing,639631727.5113354,639631727.5113354,abs_coef
45,peptide_abundance_median_lag1_missing,639631727.5113354,639631727.5113354,abs_coef
46,peptide_abundance_min_delta_missing,639631727.5113354,639631727.5113354,abs_coef
47,peptide_abundance_min_lag1_missing,639631727.5113354,639631727.5113354,abs_coef
48,peptide_abundance_std_delta_missing,639631727.5113354,639631727.5113354,abs_coef
49,peptide_abundance_std_lag1_missing,639631727.5113354,639631727.5113354,abs_coef
50,peptide_n_rows_delta_missing,639631727.5113354,639631727.5113354,abs_coef
51,peptide_n_rows_lag1_missing,639631727.5113354,639631727.5113354,abs_coef
52,peptide_n_unique_delta_missing,639631727.5113354,639631727.5113354,abs_coef
53,peptide_n_unique_lag1_missing,639631727.5113354,639631727.5113354,abs_coef
54,peptide_protein_n_unique_delta_missing,639631727.5113354,639631727.5113354,abs_coef
55,peptide_protein_n_unique_lag1_missing,639631727.5113354,639631727.5113354,abs_coef
56,prior_updrs_1_missing,639631727.5113354,639631727.5113354,abs_coef
57,protein_n_rows_delta_missing,639631727.5113354,639631727.5113354,abs_coef
58,protein_n_rows_lag1_missing,639631727.5113354,639631727.5113354,abs_coef
59,protein_n_unique_delta_missing,639631727.5113354,639631727.5113354,abs_coef
60,protein_n_unique_lag1_missing,639631727.5113354,639631727.5113354,abs_coef
61,protein_npx_max_delta_missing,639631727.5113354,639631727.5113354,abs_coef
62,protein_npx_max_lag1_missing,639631727.5113354,639631727.5113354,abs_coef
63,protein_npx_mean_delta_missing,639631727.5113354,639631727.5113354,abs_coef
64,protein_npx_mean_lag1_missing,639631727.5113354,639631727.5113354,abs_coef
65,protein_npx_median_delta_missing,639631727.5113354,639631727.5113354,abs_coef
66,protein_npx_median_lag1_missing,639631727.5113354,639631727.5113354,abs_coef
67,protein_npx_min_delta_missing,639631727.5113354,639631727.5113354,abs_coef
68,protein_npx_min_lag1_missing,639631727.5113354,639631727.5113354,abs_coef
69,protein_npx_std_delta_missing,639631727.5113354,639631727.5113354,abs_coef
70,protein_npx_std_lag1_missing,639631727.5113354,639631727.5113354,abs_coef
71,visit_gap_missing,639631727.5113354,639631727.5113354,abs_coef
72,protein_npx_mean_delta,31.880661010742188,-31.880661010742188,abs_coef
73,protein_npx_mean_lag1,29.98954439163208,-29.98954439163208,abs_coef
74,peptide_abundance_mean_lag1,27.601069450378418,27.601069450378418,abs_coef
75,peptide_abundance_mean_delta,26.889404296875,26.889404296875,abs_coef
76,protein_npx_std,26.843318819999695,26.843318819999695,abs_coef
77,protein_npx_max,24.41816544532776,-24.41816544532776,abs_coef
78,protein_npx_std_lag1,22.92877960205078,-22.92877960205078,abs_coef
79,protein_npx_mean,22.620795965194702,22.620795965194702,abs_coef
80,peptide_abundance_mean,22.32745625078678,-22.32745625078678,abs_coef
81,protein_npx_std_delta,22.073623657226562,-22.073623657226562,abs_coef
82,protein_npx_max_delta,20.96312713623047,20.96312713623047,abs_coef
83,protein_npx_max_lag1,20.166526794433594,20.166526794433594,abs_coef
84,peptide_abundance_std_delta,7.293243408203125,7.293243408203125,abs_coef
85,peptide_abundance_std_lag1,6.025247097015381,6.025247097015381,abs_coef
86,peptide_abundance_std,5.426460437476635,-5.426460437476635,abs_coef
87,peptide_abundance_median_delta,4.982606887817383,4.982606887817383,abs_coef
88,peptide_abundance_max_delta,4.481353759765625,-4.481353759765625,abs_coef
89,peptide_abundance_max,4.203392397612333,4.203392397612333,abs_coef
90,peptide_abundance_mean_rolling3_mean,4.10931396484375,-4.10931396484375,abs_coef
91,peptide_abundance_std_rolling3_mean,3.8955535888671875,3.8955535888671875,abs_coef
92,protein_npx_max_rolling3_std,3.697174072265625,-3.697174072265625,abs_coef
93,current_updrs_2,3.651580810546875,3.651580810546875,abs_coef
94,protein_npx_std_rolling3_std,3.2935791015625,3.2935791015625,abs_coef
95,peptide_abundance_max_lag1,3.090362548828125,-3.090362548828125,abs_coef
96,peptide_abundance_median,2.8675246611237526,-2.8675246611237526,abs_coef
97,protein_npx_mean_rolling3_mean,2.8092041015625,2.8092041015625,abs_coef
98,peptide_abundance_std_rolling3_std,2.60196590423584,-2.60196590423584,abs_coef
99,peptide_abundance_max_rolling3_mean,2.4763336181640625,-2.4763336181640625,abs_coef
100,protein_npx_std_rolling3_mean,2.146942138671875,-2.146942138671875,abs_coef
101,peptide_abundance_median_lag1,1.981414794921875,1.981414794921875,abs_coef
102,protein_npx_max_rolling3_mean,1.7522430419921875,1.7522430419921875,abs_coef
103,peptide_abundance_max_rolling3_std,1.4724159240722656,1.4724159240722656,abs_coef
104,prior_updrs_2,1.3708877563476562,1.3708877563476562,abs_coef
105,peptide_abundance_mean_rolling3_std,1.2654800415039062,1.2654800415039062,abs_coef
106,protein_npx_mean_rolling3_std,1.1495361328125,1.1495361328125,abs_coef
107,prior_updrs_2_missing,1.1160888671875,1.1160888671875,abs_coef
108,peptide_abundance_median_rolling3_mean,1.04296875,1.04296875,abs_coef
109,current_updrs_3,0.787872314453125,0.787872314453125,abs_coef
110,protein_npx_median_rolling3_mean,0.7567138671875,-0.7567138671875,abs_coef
111,protein_npx_median_lag1,0.746856689453125,0.746856689453125,abs_coef
112,protein_npx_median_rolling3_std,0.741180419921875,-0.741180419921875,abs_coef
113,protein_npx_min_delta,0.495208740234375,0.495208740234375,abs_coef
114,protein_npx_median,0.4770677089691162,0.4770677089691162,abs_coef
115,prior_updrs_3_missing,0.4363250732421875,-0.4363250732421875,abs_coef
116,peptide_abundance_median_rolling3_std,0.405517578125,-0.405517578125,abs_coef
117,protein_npx_min_rolling3_mean,0.398040771484375,0.398040771484375,abs_coef
118,protein_npx_min,0.36857056617736816,-0.36857056617736816,abs_coef
119,prior_updrs_3,0.34979248046875,-0.34979248046875,abs_coef
120,current_updrs_1,0.3193359375,0.3193359375,abs_coef
121,prior_updrs_4,0.241302490234375,0.241302490234375,abs_coef
122,protein_npx_min_lag1,0.234405517578125,0.234405517578125,abs_coef
123,protein_npx_min_rolling3_std,0.1966552734375,-0.1966552734375,abs_coef
124,peptide_abundance_min_delta,0.179229736328125,0.179229736328125,abs_coef
125,current_updrs_4,0.1704864501953125,-0.1704864501953125,abs_coef
126,prior_updrs_1,0.1688232421875,-0.1688232421875,abs_coef
127,peptide_abundance_min_rolling3_std,0.13092041015625,0.13092041015625,abs_coef
128,current_updrs_2_missing,0.11930084228515625,0.11930084228515625,abs_coef
129,peptide_abundance_min_rolling3_mean,0.0992431640625,-0.0992431640625,abs_coef
130,visit_gap,0.09456634521484375,-0.09456634521484375,abs_coef
131,prior_updrs_4_missing,0.084075927734375,0.084075927734375,abs_coef
132,current_updrs_3_missing,0.07775115966796875,0.07775115966796875,abs_coef
133,peptide_abundance_min_lag1,0.04215240478515625,0.04215240478515625,abs_coef
134,visit_number,0.03094482421875,0.03094482421875,abs_coef
135,current_updrs_4_missing,0.01251220703125,-0.01251220703125,abs_coef
136,peptide_abundance_min,0.009292162954807281,0.009292162954807281,abs_coef
137,protein_npx_median_delta,0.008189201354980469,-0.008189201354980469,abs_coef
138,current_updrs_1_missing,0.0,0.0,abs_coef
