candidate_index,n_estimators,max_depth,min_samples_leaf,rmse,mae,smape,r2,fit_seconds,predict_seconds,total_seconds,n_features,n_train,n_validation,run_dir
1,200,,1,3.024120625166191,2.273015873015873,0.5416815923370245,0.6184203926650812,86.16744045400992,1.4093987378291786,87.5768391918391,5784.0,799.0,189.0,results/full_experiments_patient/rf_patient/future_updrs_1/runs/20260420_210930_random_forest_patient_seed42
2,200,,3,2.9981710035608047,2.2448992547722706,0.5375012575493091,0.6249408753824661,81.57957678474486,1.4835794898681343,83.063156274613,5784.0,799.0,189.0,results/full_experiments_patient/rf_patient/future_updrs_1/runs/20260420_211054_random_forest_patient_seed42
3,200,12.0,1,3.0322057503209066,2.279751312887898,0.5426581500429606,0.6163773240391295,89.22442846000195,1.4134780559688807,90.63790651597083,5784.0,799.0,189.0,results/full_experiments_patient/rf_patient/future_updrs_1/runs/20260420_211225_random_forest_patient_seed42
4,200,12.0,3,2.993510422453997,2.24347417369641,0.537332667728502,0.6261060089670429,75.77708452614024,1.3809516159817576,77.158036142122,5784.0,799.0,189.0,results/full_experiments_patient/rf_patient/future_updrs_1/runs/20260420_211342_random_forest_patient_seed42
5,200,24.0,1,3.0225743423052323,2.2709920634920637,0.5415372062458442,0.6188105088237801,102.59855951881036,1.4459857381880283,104.04454525699839,5784.0,799.0,189.0,results/full_experiments_patient/rf_patient/future_updrs_1/runs/20260420_211527_random_forest_patient_seed42
6,200,24.0,3,2.9981710035608047,2.2448992547722706,0.5375012575493091,0.6249408753824661,79.55819847295061,1.4798254198394716,81.03802389279008,5784.0,799.0,189.0,results/full_experiments_patient/rf_patient/future_updrs_1/runs/20260420_211648_random_forest_patient_seed42
7,400,,1,3.017021426347025,2.2504100529100524,0.5369876714822929,0.620209825175734,166.19543567672372,1.3488693870604038,167.54430506378412,5784.0,799.0,189.0,results/full_experiments_patient/rf_patient/future_updrs_1/runs/20260420_211936_random_forest_patient_seed42
8,400,,3,3.003377433916305,2.2327683252226906,0.5349740068280474,0.62363713740868,148.05542126484215,1.508912500925362,149.56433376576751,5784.0,799.0,189.0,results/full_experiments_patient/rf_patient/future_updrs_1/runs/20260420_212206_random_forest_patient_seed42
9,400,12.0,1,3.016846373903292,2.2487957680623643,0.5372562939628147,0.620253895972777,164.76077380077913,1.4381834859959781,166.1989572867751,5784.0,799.0,189.0,results/full_experiments_patient/rf_patient/future_updrs_1/runs/20260420_212453_random_forest_patient_seed42
10,400,12.0,3,2.9906720268659552,2.2297235502618586,0.5343516933990907,0.6268147126433075,143.69165701186284,1.2974893450737,144.98914635693654,5784.0,799.0,189.0,results/full_experiments_patient/rf_patient/future_updrs_1/runs/20260420_212718_random_forest_patient_seed42
11,400,24.0,1,3.016238545817916,2.249398148148148,0.5369157482356213,0.6204069015064553,176.3178587751463,1.4736645487137139,177.79152332386002,5784.0,799.0,189.0,results/full_experiments_patient/rf_patient/future_updrs_1/runs/20260420_213016_random_forest_patient_seed42
12,400,24.0,3,3.003377433916305,2.23276832522269,0.5349740068280474,0.62363713740868,146.66511747939512,1.4052386581897736,148.0703561375849,5784.0,799.0,189.0,results/full_experiments_patient/rf_patient/future_updrs_1/runs/20260420_213245_random_forest_patient_seed42
