candidate_index,alpha,rmse,mae,smape,r2,fit_seconds,predict_seconds,total_seconds,n_features,n_train,n_validation,run_dir
1,0.001,7.991055193497426,6.327567883390683,0.8684595140220854,0.6685471590599709,37.75674686813727,1.1045731008052826,38.86131996894255,5784.0,797.0,188.0,results/full_experiments_patient/lasso_patient/future_updrs_3/runs/20260421_131728_lasso_patient_seed42
2,0.01,7.764049343255263,6.328349453735441,0.8886838698486306,0.6871111703535966,45.64362910622731,1.0829186369664967,46.726547743193805,5784.0,797.0,188.0,results/full_experiments_patient/lasso_patient/future_updrs_3/runs/20260421_131815_lasso_patient_seed42
3,0.1,6.131980007885343,4.867663682139914,0.7987849054678298,0.8048291535407217,5.068257432896644,1.0546968090347946,6.1229542419314384,5784.0,797.0,188.0,results/full_experiments_patient/lasso_patient/future_updrs_3/runs/20260421_131822_lasso_patient_seed42
4,1.0,5.675307469700101,4.262381097846759,0.6732328470318519,0.8328169378795693,2.356648094020784,1.01575763290748,3.372405726928264,5784.0,797.0,188.0,results/full_experiments_patient/lasso_patient/future_updrs_3/runs/20260421_131826_lasso_patient_seed42
