run_name,model,target,split,seed,rmse,mae,smape,r2,n_train,n_val,n_dropped_missing
20260422_200747_825518_random_forest_future_updrs_4_patient_seed42,random_forest,future_updrs_4,patient,42,1.7713735095765228,1.2099693251533743,1.512972571983086,0.45003419076598294,1188,326,1101
20260422_200747_529781_ridge_future_updrs_4_patient_seed42,ridge,future_updrs_4,patient,42,1.7994458909161521,1.2313287655426641,1.5385038042110424,0.4324645638349963,1188,326,1101
20260422_200747_106107_linear_regression_future_updrs_4_patient_seed42,linear_regression,future_updrs_4,patient,42,1.8490530908878182,1.2704540339941974,1.5423099854707982,0.4007415571108913,1188,326,1101
20260422_200747_036344_lasso_future_updrs_4_patient_seed42,lasso,future_updrs_4,patient,42,1.9256307174443958,1.5599607159984912,1.5110482765232827,0.3500777432542779,1188,326,1101
20260422_200745_236768_xgboost_future_updrs_4_patient_seed42,xgboost,future_updrs_4,patient,42,1.9843843885705656,1.3689910620829502,1.5775542007383954,0.30981263762921174,1188,326,1101
20260422_200749_395569_random_forest_future_updrs_4_time_aware_seed42,random_forest,future_updrs_4,time_aware,42,2.2916750279341436,1.6304530744336572,1.1150524407715776,0.520029218082968,1205,309,1101
20260422_200747_955453_ridge_future_updrs_4_time_aware_seed42,ridge,future_updrs_4,time_aware,42,2.376522746455036,1.6268075888179436,1.1208894067787631,0.48383008647604864,1205,309,1101
20260422_200746_118344_linear_regression_future_updrs_4_time_aware_seed42,linear_regression,future_updrs_4,time_aware,42,2.409266542874769,1.6474308331638927,1.1237882678747562,0.46950849303598463,1205,309,1101
20260422_200755_925606_xgboost_future_updrs_4_time_aware_seed42,xgboost,future_updrs_4,time_aware,42,2.5768490326617473,1.8258162588363327,1.1847717495374215,0.39314255065558057,1205,309,1101
20260422_200748_600160_lasso_future_updrs_4_time_aware_seed42,lasso,future_updrs_4,time_aware,42,2.7181684185173607,1.9944021702916637,1.1685931897992246,0.32475487029344463,1205,309,1101
