candidate_index,alpha,rmse,mae,smape,r2,fit_seconds,predict_seconds,total_seconds,n_features,n_train,n_validation,run_dir
1,0.1,4.6517606857381635,3.8006401875906883,1.1361060332444313,0.23671760496437988,2.5065831542015076,0.9986229040659964,3.505206058267504,5784.0,799.0,189.0,results/full_experiments_patient/ridge_patient/future_updrs_2/runs/20260421_131255_ridge_patient_seed42
2,1.0,4.647694702306502,3.7968377051974618,1.1357979883676264,0.23805135252356258,2.665292236022651,1.0273552020080388,3.69264743803069,5784.0,799.0,189.0,results/full_experiments_patient/ridge_patient/future_updrs_2/runs/20260421_131259_ridge_patient_seed42
3,10.0,4.6087580253919604,3.7615123857909523,1.1330041777775748,0.2507645264570544,2.5030922796577215,1.0051387380808592,3.5082310177385807,5784.0,799.0,189.0,results/full_experiments_patient/ridge_patient/future_updrs_2/runs/20260421_131303_ridge_patient_seed42
4,100.0,4.336697601759675,3.5064737075901897,1.1079709158589963,0.3366101883424104,2.55623695300892,1.0286711677908897,3.5849081207998097,5784.0,799.0,189.0,results/full_experiments_patient/ridge_patient/future_updrs_2/runs/20260421_131307_ridge_patient_seed42
