candidate_index,alpha,rmse,mae,smape,r2,fit_seconds,predict_seconds,total_seconds,n_features,n_train,n_validation,run_dir
1,0.001,3.9316333582495853,3.1020519523172796,1.1139460853396417,0.4547489128944129,45.556907622143626,3.0142343998886645,48.57114202203229,5784.0,799.0,189.0,results/full_experiments_patient/lasso_patient/future_updrs_2/runs/20260421_131612_lasso_patient_seed42
2,0.01,3.359215454624819,2.6223399036644746,1.0679866666539954,0.6019604403969325,18.24994395999238,1.1621856619603932,19.412129621952772,5784.0,799.0,189.0,results/full_experiments_patient/lasso_patient/future_updrs_2/runs/20260421_131632_lasso_patient_seed42
3,0.1,2.223719695275669,1.6307629298746285,0.9657575875135593,0.8255742484574149,5.3368108798749745,1.454292288981378,6.791103168856353,5784.0,799.0,189.0,results/full_experiments_patient/lasso_patient/future_updrs_2/runs/20260421_131639_lasso_patient_seed42
4,1.0,2.279733542379951,1.7936411267631693,0.9112118579323346,0.8166762653514981,2.9858017382211983,1.184083737898618,4.169885476119816,5784.0,799.0,189.0,results/full_experiments_patient/lasso_patient/future_updrs_2/runs/20260421_131644_lasso_patient_seed42
