rank,feature,importance,raw_value,method
1,protein_n_unique_delta,20643746556655.89,-20643746556655.89,abs_coef
2,peptide_protein_n_unique_delta,10339609716829.441,10339609716829.441,abs_coef
3,protein_n_rows_delta,10304136839788.104,10304136839788.104,abs_coef
4,medication_unknown_flag,10253968809722.602,-10253968809722.602,abs_coef
5,medication_on_flag,9357462343379.844,-9357462343379.844,abs_coef
6,medication_off_flag,8251727897517.387,-8251727897517.387,abs_coef
7,protein_n_unique_rolling3_mean,8193923684417.153,-8193923684417.153,abs_coef
8,peptide_protein_n_unique,4890467625559.57,-4890467625559.57,abs_coef
9,peptide_n_rows,4204997367623.9824,-4204997367623.9824,abs_coef
10,peptide_n_unique,4204997367592.804,4204997367592.804,abs_coef
11,peptide_protein_n_unique_rolling3_mean,4116497700850.2793,4116497700850.2793,abs_coef
12,protein_n_rows_rolling3_mean,4077425983561.629,4077425983561.629,abs_coef
13,protein_npx_std_missing,3216477024090.7007,3216477024090.7007,abs_coef
14,protein_n_unique,2730362688043.7764,2730362688043.7764,abs_coef
15,protein_npx_max_missing,2405784575845.238,-2405784575845.238,abs_coef
16,protein_npx_min_missing,2395295406812.1333,-2395295406812.1333,abs_coef
17,peptide_abundance_mean_missing,2339878965390.8584,2339878965390.8584,abs_coef
18,protein_n_rows,2160104937552.13,2160104937552.13,abs_coef
19,protein_npx_mean_missing,1912967798760.1367,-1912967798760.1367,abs_coef
20,protein_n_unique_rolling3_std,1489287693147.0972,1489287693147.0972,abs_coef
21,protein_n_unique_lag1,1374768549470.1401,-1374768549470.1401,abs_coef
22,peptide_abundance_median_missing,1225469933052.7812,1225469933052.7812,abs_coef
23,peptide_abundance_max_missing,1056809880295.9453,1056809880295.9453,abs_coef
24,peptide_protein_n_unique_lag1,994935739297.5458,994935739297.5458,abs_coef
25,peptide_abundance_std_missing,987197636130.7399,-987197636130.7399,abs_coef
26,protein_n_rows_rolling3_std,794455772171.2412,-794455772171.2412,abs_coef
27,peptide_protein_n_unique_rolling3_std,694831920972.98,-694831920972.98,abs_coef
28,protein_npx_median_missing,642925594657.5814,-642925594657.5814,abs_coef
29,peptide_abundance_min_missing,505535209376.8844,505535209376.8844,abs_coef
30,has_prior_visit,431875501356.57886,-431875501356.57886,abs_coef
31,peptide_n_unique_rolling3_std,410727742065.95605,-410727742065.95605,abs_coef
32,peptide_n_rows_rolling3_std,410727742064.3695,410727742064.3695,abs_coef
33,protein_n_rows_lag1,379832810135.8975,379832810135.8975,abs_coef
34,peptide_n_unique_delta,351837362619.8989,351837362619.8989,abs_coef
35,peptide_n_rows_delta,351837362586.4785,-351837362586.4785,abs_coef
36,peptide_n_rows_rolling3_mean,38831928154.32422,38831928154.32422,abs_coef
37,peptide_n_unique_rolling3_mean,38831928150.887695,-38831928150.887695,abs_coef
38,peptide_n_unique_lag1,25159247321.44934,25159247321.44934,abs_coef
39,peptide_n_rows_lag1,25159247287.151855,-25159247287.151855,abs_coef
40,peptide_abundance_max_delta_missing,13496109417.394836,-13496109417.394836,abs_coef
41,peptide_abundance_max_lag1_missing,13496109417.394836,-13496109417.394836,abs_coef
42,peptide_abundance_mean_delta_missing,13496109417.394836,-13496109417.394836,abs_coef
43,peptide_abundance_mean_lag1_missing,13496109417.394836,-13496109417.394836,abs_coef
44,peptide_abundance_median_delta_missing,13496109417.394836,-13496109417.394836,abs_coef
45,peptide_abundance_median_lag1_missing,13496109417.394836,-13496109417.394836,abs_coef
46,peptide_abundance_min_delta_missing,13496109417.394836,-13496109417.394836,abs_coef
47,peptide_abundance_min_lag1_missing,13496109417.394836,-13496109417.394836,abs_coef
48,peptide_abundance_std_delta_missing,13496109417.394836,-13496109417.394836,abs_coef
49,peptide_abundance_std_lag1_missing,13496109417.394836,-13496109417.394836,abs_coef
50,peptide_n_rows_delta_missing,13496109417.394836,-13496109417.394836,abs_coef
51,peptide_n_rows_lag1_missing,13496109417.394836,-13496109417.394836,abs_coef
52,peptide_n_unique_delta_missing,13496109417.394836,-13496109417.394836,abs_coef
53,peptide_n_unique_lag1_missing,13496109417.394836,-13496109417.394836,abs_coef
54,peptide_protein_n_unique_delta_missing,13496109417.394836,-13496109417.394836,abs_coef
55,peptide_protein_n_unique_lag1_missing,13496109417.394836,-13496109417.394836,abs_coef
56,prior_updrs_1_missing,13496109417.394836,-13496109417.394836,abs_coef
57,protein_n_rows_delta_missing,13496109417.394836,-13496109417.394836,abs_coef
58,protein_n_rows_lag1_missing,13496109417.394836,-13496109417.394836,abs_coef
59,protein_n_unique_delta_missing,13496109417.394836,-13496109417.394836,abs_coef
60,protein_n_unique_lag1_missing,13496109417.394836,-13496109417.394836,abs_coef
61,protein_npx_max_delta_missing,13496109417.394836,-13496109417.394836,abs_coef
62,protein_npx_max_lag1_missing,13496109417.394836,-13496109417.394836,abs_coef
63,protein_npx_mean_delta_missing,13496109417.394836,-13496109417.394836,abs_coef
64,protein_npx_mean_lag1_missing,13496109417.394836,-13496109417.394836,abs_coef
65,protein_npx_median_delta_missing,13496109417.394836,-13496109417.394836,abs_coef
66,protein_npx_median_lag1_missing,13496109417.394836,-13496109417.394836,abs_coef
67,protein_npx_min_delta_missing,13496109417.394836,-13496109417.394836,abs_coef
68,protein_npx_min_lag1_missing,13496109417.394836,-13496109417.394836,abs_coef
69,protein_npx_std_delta_missing,13496109417.394836,-13496109417.394836,abs_coef
70,protein_npx_std_lag1_missing,13496109417.394836,-13496109417.394836,abs_coef
71,visit_gap_missing,13496109417.394836,-13496109417.394836,abs_coef
72,protein_npx_mean_delta,32.5631103515625,-32.5631103515625,abs_coef
73,protein_npx_mean_lag1,29.10791015625,-29.10791015625,abs_coef
