candidate_index,alpha,rmse,mae,smape,r2,fit_seconds,predict_seconds,total_seconds,n_features,n_train,n_validation,run_dir
1,0.1,10.92404402173136,8.799647710722075,0.9504872489815861,0.38058692522623705,2.6659760330803692,1.0322981788776815,3.6982742119580507,5784.0,797.0,188.0,results/full_experiments_patient/ridge_patient/future_updrs_3/runs/20260421_131315_ridge_patient_seed42
2,1.0,10.917595182754617,8.7943914392015,0.9499715458880892,0.3813180310561666,2.7011107429862022,1.0694305468350649,3.770541289821267,5784.0,797.0,188.0,results/full_experiments_patient/ridge_patient/future_updrs_3/runs/20260421_131319_ridge_patient_seed42
3,10.0,10.856043340270654,8.74346765087448,0.9451029305652937,0.3882744471536813,2.7000754470936954,0.9738136152736843,3.6738890623673797,5784.0,797.0,188.0,results/full_experiments_patient/ridge_patient/future_updrs_3/runs/20260421_131323_ridge_patient_seed42
4,100.0,10.43858324105762,8.406942470891478,0.9166174224192383,0.4344166671966083,2.584511282853782,1.0308582773432136,3.6153695601969957,5784.0,797.0,188.0,results/full_experiments_patient/ridge_patient/future_updrs_3/runs/20260421_131327_ridge_patient_seed42
