candidate_index,n_estimators,max_depth,min_samples_leaf,rmse,mae,smape,r2,fit_seconds,predict_seconds,total_seconds,n_features,n_train,n_validation,run_dir
1,200,,1,2.1715741736202316,1.4849735449735448,0.9340901055768855,0.8336587910123809,84.95190875930712,1.3350915228947997,86.28700028220192,5784.0,799.0,189.0,results/full_experiments_patient/rf_patient/future_updrs_2/runs/20260420_213640_random_forest_patient_seed42
2,200,,3,2.1538599397549087,1.4730569750649114,0.9400737316158181,0.8363615205796745,68.18383682705462,1.3117068437859416,69.49554367084056,5784.0,799.0,189.0,results/full_experiments_patient/rf_patient/future_updrs_2/runs/20260420_213750_random_forest_patient_seed42
3,200,12.0,1,2.1865758609625328,1.4978587916412474,0.9351495348372849,0.8313526131184588,76.71581616904587,1.3873161510564387,78.1031323201023,5784.0,799.0,189.0,results/full_experiments_patient/rf_patient/future_updrs_2/runs/20260420_213908_random_forest_patient_seed42
4,200,12.0,3,2.1468177858168533,1.4667202770523498,0.9392948856032963,0.8374298198496168,70.03498025611043,1.2769602807238698,71.3119405368343,5784.0,799.0,189.0,results/full_experiments_patient/rf_patient/future_updrs_2/runs/20260420_214020_random_forest_patient_seed42
5,200,24.0,1,2.1715741736202316,1.4849735449735448,0.9340901055768855,0.8336587910123809,78.68805243587121,1.3628496448509395,80.05090208072215,5784.0,799.0,189.0,results/full_experiments_patient/rf_patient/future_updrs_2/runs/20260420_214140_random_forest_patient_seed42
6,200,24.0,3,2.1538599397549087,1.4730569750649114,0.9400737316158181,0.8363615205796745,70.83162698987871,1.478315532207489,72.3099425220862,5784.0,799.0,189.0,results/full_experiments_patient/rf_patient/future_updrs_2/runs/20260420_214253_random_forest_patient_seed42
7,400,,1,2.169673211623837,1.488664021164021,0.9346128022753855,0.8339498885200389,150.0383975347504,1.3624518238939345,151.40084935864434,5784.0,799.0,189.0,results/full_experiments_patient/rf_patient/future_updrs_2/runs/20260420_214525_random_forest_patient_seed42
8,400,,3,2.153244747145926,1.4682936818839596,0.9373009055004939,0.8364549851587717,132.74371916195378,1.338245895691216,134.081965057645,5784.0,799.0,189.0,results/full_experiments_patient/rf_patient/future_updrs_2/runs/20260420_214740_random_forest_patient_seed42
9,400,12.0,1,2.1667199358937466,1.4855555281236286,0.9344871844039362,0.8344016229198394,148.21414337214082,1.3378392150625587,149.55198258720338,5784.0,799.0,189.0,results/full_experiments_patient/rf_patient/future_updrs_2/runs/20260420_215009_random_forest_patient_seed42
10,400,12.0,3,2.147751293873437,1.4655441916631855,0.9370197700168768,0.8372884072255778,137.68994376203045,1.4104181160219014,139.10036187805235,5784.0,799.0,189.0,results/full_experiments_patient/rf_patient/future_updrs_2/runs/20260420_215229_random_forest_patient_seed42
11,400,24.0,1,2.169673211623837,1.488664021164021,0.9346128022753855,0.8339498885200389,156.36121496092528,1.2931074183434248,157.6543223792687,5784.0,799.0,189.0,results/full_experiments_patient/rf_patient/future_updrs_2/runs/20260420_215507_random_forest_patient_seed42
12,400,24.0,3,2.153244747145926,1.4682936818839596,0.9373009055004939,0.8364549851587718,130.71675722999498,1.3542732708156109,132.0710305008106,5784.0,799.0,189.0,results/full_experiments_patient/rf_patient/future_updrs_2/runs/20260420_215720_random_forest_patient_seed42
