rank,feature,importance,raw_value,method
1,medication_unknown_flag,9615143649078.285,9615143649078.285,abs_coef
2,medication_on_flag,8678355328607.504,8678355328607.504,abs_coef
3,medication_off_flag,6952652270273.184,6952652270273.184,abs_coef
4,protein_n_unique_delta,2638891745059.4146,2638891745059.4146,abs_coef
5,protein_n_rows_delta,1324928183533.2598,-1324928183533.2598,abs_coef
6,peptide_protein_n_unique_delta,1313963561535.858,-1313963561535.858,abs_coef
7,protein_n_unique_lag1,1049395478849.0764,-1049395478849.0764,abs_coef
8,peptide_abundance_max_missing,571774030425.0884,571774030425.0884,abs_coef
9,peptide_protein_n_unique_lag1,538044061349.50543,538044061349.50543,abs_coef
10,protein_n_rows_lag1,511351417477.23956,511351417477.23956,abs_coef
11,protein_n_unique_rolling3_std,365632378667.37415,365632378667.37415,abs_coef
12,peptide_protein_n_unique,362414558797.6227,362414558797.6227,abs_coef
13,protein_n_rows,325918801113.92676,-325918801113.92676,abs_coef
14,protein_n_unique_rolling3_mean,257532534545.48044,-257532534545.48044,abs_coef
15,protein_npx_min_missing,209601851857.03726,-209601851857.03726,abs_coef
16,protein_n_rows_rolling3_std,198648744735.05945,-198648744735.05945,abs_coef
17,protein_npx_median_missing,190020107203.82874,190020107203.82874,abs_coef
18,peptide_abundance_mean_missing,167791774261.08008,-167791774261.08008,abs_coef
19,peptide_protein_n_unique_rolling3_std,166983633931.97925,-166983633931.97925,abs_coef
20,peptide_abundance_median_missing,156724428544.6078,-156724428544.6078,abs_coef
21,protein_npx_mean_missing,155973901848.21567,-155973901848.21567,abs_coef
22,peptide_n_unique,153767131979.11096,-153767131979.11096,abs_coef
23,peptide_n_rows,153767131975.20447,153767131975.20447,abs_coef
24,peptide_abundance_min_missing,151631173464.19116,-151631173464.19116,abs_coef
25,peptide_protein_n_unique_rolling3_mean,132170026644.77594,132170026644.77594,abs_coef
26,protein_n_rows_rolling3_mean,125362507910.27695,125362507910.27695,abs_coef
27,protein_npx_std_missing,100181859514.96097,100181859514.96097,abs_coef
28,protein_n_unique,36495757674.03418,-36495757674.03418,abs_coef
29,has_prior_visit,25588213146.658936,-25588213146.658936,abs_coef
30,protein_npx_max_missing,15060187786.422058,-15060187786.422058,abs_coef
31,peptide_n_rows_rolling3_std,9933679542.527588,9933679542.527588,abs_coef
32,peptide_n_unique_rolling3_std,9933679542.205383,-9933679542.205383,abs_coef
33,peptide_abundance_std_missing,5192679379.537056,-5192679379.537056,abs_coef
34,peptide_n_unique_delta,1891475469.6348267,1891475469.6348267,abs_coef
35,peptide_n_rows_delta,1891475464.786438,-1891475464.786438,abs_coef
36,peptide_n_unique_rolling3_mean,990004891.5807495,-990004891.5807495,abs_coef
37,peptide_n_rows_rolling3_mean,990004880.488617,990004880.488617,abs_coef
38,peptide_abundance_max_delta_missing,799631660.822464,-799631660.822464,abs_coef
39,peptide_abundance_max_lag1_missing,799631660.822464,-799631660.822464,abs_coef
40,peptide_abundance_mean_delta_missing,799631660.822464,-799631660.822464,abs_coef
41,peptide_abundance_mean_lag1_missing,799631660.822464,-799631660.822464,abs_coef
42,peptide_abundance_median_delta_missing,799631660.822464,-799631660.822464,abs_coef
43,peptide_abundance_median_lag1_missing,799631660.822464,-799631660.822464,abs_coef
44,peptide_abundance_min_delta_missing,799631660.822464,-799631660.822464,abs_coef
45,peptide_abundance_min_lag1_missing,799631660.822464,-799631660.822464,abs_coef
46,peptide_abundance_std_delta_missing,799631660.822464,-799631660.822464,abs_coef
47,peptide_abundance_std_lag1_missing,799631660.822464,-799631660.822464,abs_coef
48,peptide_n_rows_delta_missing,799631660.822464,-799631660.822464,abs_coef
49,peptide_n_rows_lag1_missing,799631660.822464,-799631660.822464,abs_coef
50,peptide_n_unique_delta_missing,799631660.822464,-799631660.822464,abs_coef
51,peptide_n_unique_lag1_missing,799631660.822464,-799631660.822464,abs_coef
52,peptide_protein_n_unique_delta_missing,799631660.822464,-799631660.822464,abs_coef
53,peptide_protein_n_unique_lag1_missing,799631660.822464,-799631660.822464,abs_coef
54,prior_updrs_1_missing,799631660.822464,-799631660.822464,abs_coef
55,protein_n_rows_delta_missing,799631660.822464,-799631660.822464,abs_coef
56,protein_n_rows_lag1_missing,799631660.822464,-799631660.822464,abs_coef
57,protein_n_unique_delta_missing,799631660.822464,-799631660.822464,abs_coef
58,protein_n_unique_lag1_missing,799631660.822464,-799631660.822464,abs_coef
59,protein_npx_max_delta_missing,799631660.822464,-799631660.822464,abs_coef
60,protein_npx_max_lag1_missing,799631660.822464,-799631660.822464,abs_coef
61,protein_npx_mean_delta_missing,799631660.822464,-799631660.822464,abs_coef
62,protein_npx_mean_lag1_missing,799631660.822464,-799631660.822464,abs_coef
63,protein_npx_median_delta_missing,799631660.822464,-799631660.822464,abs_coef
64,protein_npx_median_lag1_missing,799631660.822464,-799631660.822464,abs_coef
65,protein_npx_min_delta_missing,799631660.822464,-799631660.822464,abs_coef
66,protein_npx_min_lag1_missing,799631660.822464,-799631660.822464,abs_coef
67,protein_npx_std_delta_missing,799631660.822464,-799631660.822464,abs_coef
68,protein_npx_std_lag1_missing,799631660.822464,-799631660.822464,abs_coef
69,visit_gap_missing,799631660.822464,-799631660.822464,abs_coef
70,peptide_n_unique_lag1,747949784.0947571,747949784.0947571,abs_coef
71,peptide_n_rows_lag1,747949763.6688843,-747949763.6688843,abs_coef
72,peptide_abundance_mean_rolling3_mean,21.74260711669922,-21.74260711669922,abs_coef
73,protein_npx_max,21.14892578125,-21.14892578125,abs_coef
74,protein_npx_std,20.5400390625,20.5400390625,abs_coef
75,peptide_abundance_mean,17.567657470703125,17.567657470703125,abs_coef
76,peptide_abundance_std,15.069061279296875,-15.069061279296875,abs_coef
77,protein_npx_mean_rolling3_mean,14.625396728515625,14.625396728515625,abs_coef
78,protein_npx_mean_lag1,12.855178833007812,-12.855178833007812,abs_coef
79,peptide_abundance_mean_delta,12.52044677734375,-12.52044677734375,abs_coef
80,peptide_abundance_max,10.240631103515625,10.240631103515625,abs_coef
81,protein_npx_max_delta,9.188362121582031,9.188362121582031,abs_coef
82,peptide_abundance_median_delta,9.013702392578125,9.013702392578125,abs_coef
83,peptide_abundance_std_rolling3_mean,8.844001770019531,8.844001770019531,abs_coef
84,protein_npx_max_rolling3_mean,8.794998168945312,8.794998168945312,abs_coef
85,peptide_abundance_median,8.495880126953125,-8.495880126953125,abs_coef
86,protein_npx_std_rolling3_mean,7.879581451416016,-7.879581451416016,abs_coef
87,peptide_abundance_mean_lag1,7.77117919921875,7.77117919921875,abs_coef
88,protein_npx_mean,7.1923828125,-7.1923828125,abs_coef
89,peptide_abundance_std_delta,6.78460693359375,6.78460693359375,abs_coef
90,peptide_abundance_max_delta,6.6513671875,-6.6513671875,abs_coef
91,peptide_abundance_max_rolling3_mean,5.8365020751953125,-5.8365020751953125,abs_coef
92,protein_npx_max_lag1,5.239784240722656,5.239784240722656,abs_coef
93,protein_npx_max_rolling3_std,4.648834228515625,-4.648834228515625,abs_coef
94,peptide_abundance_median_rolling3_mean,4.2200927734375,4.2200927734375,abs_coef
95,peptide_abundance_mean_rolling3_std,3.415374755859375,3.415374755859375,abs_coef
96,protein_npx_std_delta,3.4065589904785156,-3.4065589904785156,abs_coef
97,protein_npx_std_rolling3_std,2.959259033203125,2.959259033203125,abs_coef
98,current_updrs_1,2.828369140625,2.828369140625,abs_coef
99,peptide_abundance_max_lag1,2.537506103515625,-2.537506103515625,abs_coef
100,protein_npx_median_lag1,2.5303573608398438,2.5303573608398438,abs_coef
101,peptide_abundance_median_lag1,2.352630615234375,2.352630615234375,abs_coef
102,protein_npx_mean_delta,2.3284010887145996,2.3284010887145996,abs_coef
103,protein_npx_mean_rolling3_std,2.0576171875,-2.0576171875,abs_coef
104,prior_updrs_1,1.4876708984375,1.4876708984375,abs_coef
105,protein_npx_median_rolling3_std,1.477569580078125,-1.477569580078125,abs_coef
106,protein_npx_std_lag1,1.2702484130859375,-1.2702484130859375,abs_coef
107,peptide_abundance_std_lag1,1.202423095703125,1.202423095703125,abs_coef
