candidate_index,alpha,rmse,mae,smape,r2,fit_seconds,predict_seconds,total_seconds,n_features,n_train,n_validation,run_dir
1,0.1,3.19012475072577,2.405620585005968,1.6273061042582915,-0.19061997650947848,1.8457347610965371,0.9311649850569665,2.7768997461535037,5784.0,457.0,119.0,results/full_experiments_patient/ridge_patient/future_updrs_4/runs/20260421_131334_ridge_patient_seed42
2,1.0,3.1894263476153055,2.4049245393725296,1.6271883269324843,-0.1900987168487207,1.8184424587525427,0.9646235732361674,2.78306603198871,5784.0,457.0,119.0,results/full_experiments_patient/ridge_patient/future_updrs_4/runs/20260421_131337_ridge_patient_seed42
3,10.0,3.1825561556325437,2.3980447194574617,1.6260331951437539,-0.1849771684675472,1.87350640213117,1.0103468019515276,2.8838532040826976,5784.0,457.0,119.0,results/full_experiments_patient/ridge_patient/future_updrs_4/runs/20260421_131341_ridge_patient_seed42
4,100.0,3.1234818795565733,2.339585043769308,1.616324574469637,-0.14139459951268596,1.869876062963158,1.0379468477331102,2.907822910696268,5784.0,457.0,119.0,results/full_experiments_patient/ridge_patient/future_updrs_4/runs/20260421_131344_ridge_patient_seed42
